beetle,age,diet pair,choice,avg.perc,sex,fat 2,fat 4,fat 6,fat 8,fat 10,prot 2,prot 4,prot 6,prot 8,prot 10,fat eaten,protein eaten,total eaten
61,0,3,3&5,59.5,f,0.011314645,0.032180258,0.010490645,0.020743629,0.043573661,0.010085355,0.086879742,0.008639355,0.046588871,0.012243839,0.118302839,0.164437161,0.28274
62,0,3,3&5,59.5,f,0.008874516,0.019808919,0.026001774,0.012738258,0.033707032,0.024675484,0.034583581,0.021413226,0.017351742,0.021192968,0.1011305,0.119217,0.2203475
63,0,3,3&5,59.5,f,0.04013271,0.017424516,0.023359355,0.003761839,0.025581258,0.05946729,0.038685484,0.024290645,0.004643161,0.010983742,0.110259677,0.138070323,0.24833
64,0,3,3&5,59.5,f,0.052604484,0.011515,0.067109839,0,0.036179,0.081870516,0.03037,0.112415161,0,0.010166,0.167408323,0.234821677,0.40223
65,0,3,3&5,59.5,f,0.033116742,0.018227145,0.030286581,0.012692419,0.013723387,0.032608258,0.050680355,0.032833419,0.010452581,0.011301613,0.108046274,0.137876226,0.2459225
66,0,3,3&5,59.5,f,0.04408871,0.017730516,0.035131048,0.0017,0,0.08593129,0.049299484,0.028931452,0.0014,0,0.098650274,0.165562226,0.2642125
67,0,3,3&5,59.5,f,0.111332581,0.002507613,0.072734935,0.046769468,0.020249935,0.098887419,0.006972387,0.086430065,0.047998032,0.005690065,0.253594532,0.245977968,0.4995725
68,0,3,3&5,59.5,f,0.049872226,0.015332016,0.048098323,0,0.017943226,0.070632774,0.042630484,0.045331677,0,0.009916774,0.13124579,0.16851171,0.2997575
69,0,3,3&5,59.5,f,0.023268645,0.011977516,0.015352097,0.003318355,0.011012903,0.034971355,0.032117484,0.012642903,0.009226645,0.004707097,0.064929516,0.093665484,0.158595
70,0,3,3&5,59.5,f,0.057107516,0.069668468,0.005556532,0.067132177,0,0.103907484,0.057374032,0.004575968,0.055285323,0,0.199464694,0.221142806,0.4206075
71,0,3,3&5,59.5,m,0.056811887,0.040581032,0.045151565,0.034737935,0.033513339,0.085010613,0.069258968,0.066840935,0.056272065,0.026284161,0.210795758,0.303666742,0.5144625
72,0,3,3&5,59.5,m,0.030808613,0.016133435,0.016516048,0.016054806,0.050391048,0.052236387,0.031039065,0.013601452,0.020440194,0.023461452,0.129903952,0.140778548,0.2706825
73,0,3,3&5,59.5,m,0.056547968,0.020239242,0.104580274,0.035286419,0.049229758,0.064297032,0.048733258,0.098292226,0.051108581,0.030022742,0.265883661,0.292453839,0.5583375
74,0,3,3&5,59.5,m,0.03420271,0.017271387,0.022487984,0.008813403,0.017465984,0.04588729,0.034503613,0.018519516,0.023934097,0.011571516,0.100241468,0.134416032,0.2346575
75,0,3,3&5,59.5,m,0.027476613,0.008508823,0.025297355,0.011587242,0.032400645,0.036908387,0.023658677,0.026722645,0.010835258,0.013299355,0.105270677,0.111424323,0.216695
76,0,3,3&5,59.5,m,0.03407629,0.053103065,0.029793,0.06913579,0.051091774,0.09474871,0.043731935,0.029202,0.07626171,0.031683226,0.237199919,0.275627581,0.5128275
77,0,3,3&5,59.5,m,0.021090887,0.027134113,0.055210661,0.026164887,0.036008161,0.036146613,0.051793387,0.066051839,0.037132613,0.022256839,0.16560871,0.21338129,0.37899
78,0,3,3&5,59.5,m,0.023919468,0.006789855,0.04569329,0.006950274,0.032519565,0.029588032,0.009177645,0.04538671,0.014772226,0.013192935,0.115872452,0.112117548,0.22799
79,0,3,3&5,59.5,m,0.006918419,0.035675661,0.051485548,0.065505113,0.018806661,0.019236581,0.076991839,0.056394452,0.090817387,0.012805839,0.178391403,0.256246097,0.4346375
80,0,3,3&5,59.5,m,0.022360484,0.025257581,0.031168952,0.019332323,0.025763194,0.018414516,0.038497419,0.025668548,0.026757677,0.017401806,0.123882532,0.126739968,0.2506225
81,0,3,3&5,59.5,m,0.036175323,0.017005323,0.026353661,0.011858097,0.020438242,0.042609677,0.035609677,0.029353839,0.017946903,0.008979258,0.111830645,0.134499355,0.24633
82,0,3,3&5,59.5,m,0.098354194,0.003723065,0.057471242,0.039764065,0,0.122305806,0.010351935,0.056811258,0.075215935,0,0.199312565,0.264684935,0.4639975
83,0,3,3&5,59.5,m,0.052048435,0.029150452,0.025700161,0.008170968,0,0.080759065,0.066269548,0.021164839,0.006729032,0,0.115070016,0.174922484,0.2899925
84,0,3,3&5,59.5,m,0.022380968,0.017025581,0.019352048,0.005698145,0,0.033359032,0.047339419,0.020805452,0.010684355,0,0.064456742,0.112188258,0.176645
85,21,1,1&5,48,f,0.058655403,0.043812758,0.036157532,0.049848677,0.051925323,0.072832097,0.056664742,0.059159968,0.053096323,0.060699677,0.240399694,0.302452806,0.5428525
86,21,1,1&5,48,f,0.017086468,0.013128968,0.001987839,0,0.00702621,0.019816032,0.017861032,0.005527161,0,0.01953629,0.039229484,0.062740516,0.10197
87,21,1,1&5,48,f,0.032373468,0.071398758,0.026967016,0.045210855,0.029754032,0.058814032,0.156108742,0.038220484,0.040971645,0.062720968,0.205704129,0.356835871,0.56254
88,21,1,1&5,48,f,0.022260806,0.011370242,0.00459729,0.001235952,0.016564371,0.023164194,0.008517258,0.01278271,0.003436548,0.028013129,0.056028661,0.075913839,0.1319425
89,21,1,1&5,48,f,0.033903419,0.049181258,0.049875855,0.043374065,0.034289387,0.051726581,0.049113742,0.045981645,0.039205935,0.050965613,0.210623984,0.236993516,0.4476175
90,21,1,1&5,48,f,0.036706984,0.047284532,0.029919145,0.03850429,0.032668371,0.049575516,0.047517968,0.044448355,0.04906071,0.056829129,0.185083323,0.247431677,0.432515
91,21,1,1&5,48,f,0.054474742,0.004231194,0.019402629,0.021167597,0.010710258,0.056510258,0.010803806,0.026304871,0.030109903,0.029779742,0.109986419,0.153508581,0.263495
92,21,1,1&5,48,f,0.051023371,0.026629129,0.026679355,0.035148823,0.02827929,0.049699129,0.035685871,0.039220645,0.037218677,0.04641071,0.167759968,0.208235032,0.375995
93,21,1,1&5,48,f,0.01610029,0.015090984,0.022595452,0.033360823,0.014683855,0.02424471,0.018911516,0.020299548,0.077866677,0.036613645,0.101831403,0.177936097,0.2797675
94,21,1,1&5,48,f,0.061441355,0.036460565,0.033211371,0.038753323,0.038582016,0.085568645,0.060426935,0.057851129,0.054211677,0.073730484,0.208448629,0.331788871,0.5402375
95,21,1,1&5,48,f,0.075533613,0.035565694,0.036946581,0.033722565,0.035415274,0.067376387,0.050016806,0.062973419,0.049774935,0.064452226,0.217183726,0.294593774,0.5117775
96,21,1,1&5,48,f,0.037310484,0.010810855,0.006612242,0.013021452,0.015397484,0.031414516,0.025571645,0.018385258,0.006903548,0.042812516,0.083152516,0.125087484,0.20824
97,21,1,1&5,48,f,0.080620419,0.028736226,0.018206758,0.033791629,0.045682887,0.059944581,0.047578774,0.032340742,0.043610871,0.057864613,0.207037919,0.241339581,0.4483775
98,21,1,1&5,48,f,0.006138097,0.008515935,0.010126371,0.004037177,0.011123565,0.017066903,0.015054065,0.005961129,0.011225323,0.030928935,0.039941145,0.080236355,0.1201775
99,21,1,1&5,48,m,0.054032661,0.038175984,0.0553295,0.038485581,0.036241645,0.090329839,0.052001516,0.057443,0.045179419,0.060813355,0.222265371,0.305767129,0.5280325
100,21,1,1&5,48,m,0.014998065,0.044848839,0.030208048,0.02846379,0.0168115,0.041701935,0.041921161,0.035339452,0.03352371,0.042671,0.135330242,0.195157258,0.3304875
